,leiden_cluster
6,0
34,0
46,0
48,0
59,0
63,0
65,0
66,0
67,0
69,0
75,0
77,0
78,0
80,0
82,0
85,0
89,0
104,0
116,0
117,0
118,0
127,0
130,0
136,0
139,0
140,0
163,0
165,0
173,0
174,0
176,0
177,0
178,0
181,0
200,0
216,0
218,0
237,0
238,0
241,0
262,0
267,0
272,0
298,0
302,0
303,0
304,0
310,0
313,0
317,0
334,0
354,0
355,0
359,0
363,0
369,0
370,0
372,0
382,0
394,0
398,0
405,0
413,0
426,0
428,0
441,0
443,0
444,0
447,0
450,0
452,0
466,0
472,0
480,0
481,0
489,0
492,0
493,0
499,0
511,0
514,0
537,0
543,0
554,0
556,0
557,0
559,0
563,0
571,0
582,0
583,0
587,0
595,0
601,0
611,0
612,0
615,0
618,0
620,0
628,0
631,0
637,0
646,0
648,0
665,0
666,0
671,0
679,0
680,0
682,0
691,0
696,0
698,0
703,0
712,0
714,0
715,0
738,0
741,0
742,0
747,0
750,0
754,0
755,0
761,0
763,0
766,0
779,0
785,0
788,0
804,0
812,0
820,0
822,0
823,0
824,0
829,0
842,0
849,0
859,0
865,0
876,0
886,0
888,0
893,0
898,0
901,0
906,0
922,0
925,0
930,0
931,0
936,0
944,0
945,0
955,0
968,0
971,0
975,0
979,0
984,0
988,0
994,0
1007,0
1011,0
1014,0
1019,0
1021,0
1023,0
1026,0
1032,0
1038,0
1049,0
1051,0
1057,0
1070,0
1072,0
1077,0
1080,0
1084,0
1087,0
1093,0
1099,0
1106,0
1114,0
1134,0
1142,0
1147,0
1150,0
1174,0
1186,0
1189,0
1193,0
1194,0
1195,0
1197,0
1202,0
1213,0
1215,0
1228,0
1230,0
1240,0
1248,0
1257,0
1268,0
1269,0
1273,0
1276,0
1289,0
1290,0
1291,0
1308,0
1311,0
1315,0
1321,0
1322,0
1324,0
1333,0
1338,0
1347,0
1349,0
1353,0
1361,0
1378,0
1381,0
1405,0
1410,0
1418,0
1432,0
1433,0
1435,0
1450,0
1452,0
1453,0
