doc_id,cited_by_count,topic,topic_weight,topic_label,hex_colour,topic x,topic y
0,182,10,0.13304621689162072,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.81570894,12.153969
1,104,0,0.023305641328811702,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,5.7093763,7.739736
2,130,13,0.04764890179659727,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,1.809711,10.002436
3,110,10,0.09026180706580442,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.90825343,11.685554
4,58,19,0.031797571568795105,19: [n=78] clinical|profile|laboratory|manifestations|outcome|features|diagnosis|common|signs|parameters,#a9a9a9,5.463806,7.6923575
5,83,9,0.06743346335547379,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,6.6204357,8.559033
6,56,13,0.03769026274318286,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,4.5261154,8.792115
7,81,16,0.0440061668187827,16: [n=181] aegypti|ae|mosquitoes|vector|albopictus|resistance|species|insecticide|insecticides|vectors,#808000,0.9876812,8.937076
8,55,0,0.01980270583289072,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,2.763654,7.6682763
9,92,9,0.058549279728348586,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,6.255652,7.145077
10,99,3,0.1654534214593609,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-2.1251109,10.696097
11,106,10,0.09592815598396626,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.8654524,12.320659
12,78,3,0.0481930640289244,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-0.24289167,11.296876
13,136,11,0.012658988645103985,11: [n=194] platelet|thrombocytopenia|count|bleeding|transfusion|platelets|blood|counts|group|mean,#dcbeff,6.745255,3.4429252
14,73,12,0.08305992177077659,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,9.886959,5.8399415
15,93,9,0.06575990607041317,9: [n=386] denv|vaccine|serotypes|cells|viral|serotype|protein|four|viruses|immune,#fabed4,6.6587424,8.709012
16,92,13,0.027954642927731407,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,2.3946228,9.620214
17,67,10,0.018567615553848196,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.5587532,10.939625
18,82,3,0.11278461524950711,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-2.389034,11.995117
19,64,0,0.06696906003576944,0: [n=703] outbreak|surveillance|epidemic|reported|imported|epidemiological|years|outbreaks|pakistan|system,#e6194B,3.096368,6.619057
20,89,11,0.144262299865594,11: [n=194] platelet|thrombocytopenia|count|bleeding|transfusion|platelets|blood|counts|group|mean,#dcbeff,6.4509583,2.666352
21,62,3,0.0811107340570524,3: [n=190] climate|change|temperature|incidence|rainfall|factors|humidity|climatic|weather|correlation,#4363d8,-2.800495,11.74742
22,47,12,0.16937982123270134,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,10.222659,4.976278
23,58,10,0.050494181391506035,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,0.9291262,10.842671
24,68,10,0.044984981201847095,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,-0.17571588,11.349683
25,48,2,0.02863866627089108,2: [n=472] case|report|acute|patient|rare|syndrome|manifestations|neurological|severe|complications,#ffe119,10.321891,2.338782
26,68,13,0.052723456062211044,13: [n=329] diseases|infectious|covid_19|malaria|countries|tropical|infections|human|viral|public,#fffac8,3.378397,9.689798
27,93,12,0.12252854031825751,12: [n=92] df|risk|factors|dss|levels|ci|associated|significantly|severity|guangzhou,#9A6324,-3.403346,4.786063
28,63,10,0.04478061602619477,10: [n=289] model|models|transmission|dynamics|prediction|mathematical|spatial|regression|number|system,#469990,-0.2419757,10.592755
